cake,quantities,ingredient,measure
Angel,0.25,Almond essence,teaspoon
Angel,0,Buttermilk,cup
Angel,0,Baking powder,teaspoon
Angel,0,Butter,cup
Angel,0,Bananas,one
Angel,0,Cocoa,tablespoon
Angel,0,Cottage Cheese,pound
Angel,0,Chocolate,ounce
Angel,0,Crushed Ice,cup
Angel,0,Crumbs,cup
Angel,1.25,Cream of tartar,teaspoon
Angel,0,Dried currants,tablespoon
Angel,0,Eggs,one
Angel,10,Egg white,one
Angel,0,Egg yolk,one
Angel,1,Sifted flour,cup
Angel,0,Gelatin,tablespoon
Angel,0,Heavy cream,cup
Angel,0,Lemon juice,tablespoon
Angel,0,Lemon rind,teaspoon
Angel,0,Milk,cup
Angel,0,Nutmeg,teaspoon
Angel,0,Nuts,cup
Angel,0,Rum,ounce
Angel,0,Soda,teaspoon
Angel,0,Sour cream cup,cup
Angel,0,Shortening,tablespoon
Angel,1.5,Granulated sugar,cup
Angel,0,Strawberries,quart
Angel,0.25,Salt,teaspoon
Angel,1,Vanilla extract,teaspoon
Angel,0,Water,cup
Angel,0,Yeast,ounce
Angel,0,Zwiebach,ounce
Babas au Rhum,0,Almond essence,teaspoon
Babas au Rhum,0,Buttermilk,cup
Babas au Rhum,0,Baking powder,teaspoon
Babas au Rhum,0.25,Butter,cup
Babas au Rhum,0,Bananas,one
Babas au Rhum,0,Cocoa,tablespoon
Babas au Rhum,0,Cottage Cheese,pound
Babas au Rhum,0,Chocolate,ounce
Babas au Rhum,0,Crushed Ice,cup
Babas au Rhum,0,Crumbs,cup
Babas au Rhum,0,Cream of tartar,teaspoon
Babas au Rhum,3,Dried currants,tablespoon
Babas au Rhum,1,Eggs,one
Babas au Rhum,0,Egg white,one
Babas au Rhum,2,Egg yolk,one
Babas au Rhum,1.75,Sifted flour,cup
Babas au Rhum,0,Gelatin,tablespoon
Babas au Rhum,0,Heavy cream,cup
Babas au Rhum,0,Lemon juice,tablespoon
Babas au Rhum,0.5,Lemon rind,teaspoon
Babas au Rhum,0.25,Milk,cup
Babas au Rhum,0,Nutmeg,teaspoon
